scope,dimension,family,level,measure,runs,mean,normal_ci95_low,normal_ci95_high,bootstrap_ci95_low,bootstrap_ci95_high,normal_width,bootstrap_width,relative_width_change
global,all,all,all,tau_h,9600,94.59510416666667,90.69495932373292,98.49524900960043,90.82883072916667,98.56611458333333,7.8002896858675115,7.737283854166662,-0.008077370743679202
global,all,all,all,b_h,9600,31755.180242482653,30635.653620990568,32874.70686397474,30665.415060954077,32883.89889492086,2239.0532429841696,2218.4838339667804,-0.0091866547085655
global,all,all,all,tau_h_over_b_h,9600,0.009574427481475372,0.009112281313590659,0.010036573649360085,0.009108930614256666,0.010047968777083584,0.0009242923357694263,0.0009390381628269183,0.01595363986786369
figure_2_marginal,n,ba,100,tau_h,800,23.885,22.447491343514123,25.32250865648588,22.443718750000002,25.3275625,2.8750173129717567,2.883843749999997,0.0030700465657775844
figure_2_marginal,n,ba,200,tau_h,800,46.73875,43.981029174084334,49.49647082591567,44.06365625,49.493937499999994,5.515441651831338,5.430281249999993,-0.015440359486546096
figure_2_marginal,n,ba,400,tau_h,800,91.755,86.72174607870362,96.78825392129637,86.9046875,96.94884375000001,10.066507842592756,10.044156250000015,-0.002220391911698427
figure_2_marginal,n,ba,800,tau_h,800,181.655,171.76872130956843,191.54127869043157,171.96121875,191.5113125,19.772557380863134,19.550093750000002,-0.011251130876901327
figure_2_marginal,n,er,100,tau_h,800,23.9625,21.959829045780086,25.96517095421991,22.048656249999997,26.0850625,4.005341908439824,4.036406250000002,0.007755727793105738
figure_2_marginal,n,er,200,tau_h,800,46.225,42.60545706510173,49.84454293489827,42.760968749999996,49.9788125,7.23908586979654,7.21784375,-0.0029343649431163854
figure_2_marginal,n,er,400,tau_h,800,89.8025,83.03107967901549,96.5739203209845,83.12246875,96.7588125,13.542840641969008,13.636343750000009,0.006904246347050558
figure_2_marginal,n,er,800,tau_h,800,179.8325,166.73177274472297,192.93322725527705,167.20375,193.28653125,26.201454510554072,26.082781249999982,-0.004529262316574356
figure_2_marginal,n,ws,100,tau_h,800,26.3125,23.37758441577178,29.24741558422822,23.42496875,29.3425,5.869831168456443,5.91753125,0.008126312354585163
figure_2_marginal,n,ws,200,tau_h,800,54.9925,48.15387324020112,61.83112675979888,48.3810625,62.013875,13.677253519597755,13.6328125,-0.0032492648859712148
figure_2_marginal,n,ws,400,tau_h,800,119.72625,103.74138062279269,135.7111193772073,104.4448125,136.41140625,31.969738754414607,31.96659375,-9.837441709381611e-05
