family,n,k_colors,average_degree,trials,realized_mean_degree,mean_initial_phi,mean_h,mean_w,mean_x0,mean_tau_h,sd_tau_h,mean_b_h,mean_tau_over_b,mean_max_degree,mean_degree_variance,mean_final_phi,mean_accepted_moves,mean_total_activations,normal_ci95_low_tau_h,normal_ci95_high_tau_h
er,100,4,12.0,40,12.061,148.8,131.65,16.075,17.4,13.2,7.053640631180905,3269.470815343,0.0038093440675305854,20.925,10.396519999999999,43.575,56.35,512.475,11.014054121297743,15.385945878702255
er,100,4,16.0,40,16.1105,202.75,182.45,19.475,20.775,12.475,6.524067867401559,4066.741744893,0.0029063050730054546,25.425,13.091969999999993,72.85,62.675,609.525,10.45317042109038,14.496829578909619
er,100,5,4.0,40,3.9915,40.8,18.25,8.0,22.55,42.45,12.046810408802864,1718.4490861359998,0.025336232920748058,9.525,3.7130500000000004,0.35,31.725,308.425,38.71665477565997,46.18334522434004
er,100,5,8.0,40,8.028,82.075,60.0,12.875,22.075,21.475,9.850126902735822,2624.3804007765,0.008258247099887843,15.575,7.30574,5.725,49.6,469.45,18.422414047074188,24.527585952925815
er,100,5,12.0,40,12.0345,121.55,99.925,17.05,21.625,16.875,6.7184686136664,3606.4831226885,0.004722751968573637,20.85,10.11947,19.5,58.075,536.775,14.792925005661111,18.95707499433889
er,100,5,16.0,40,15.969,160.875,139.575,20.875,21.425,13.1,6.274899120651979,4275.5784337922505,0.0030134820829789888,25.55,12.806940000000006,39.325,62.225,580.575,11.1553886157133,15.0446113842867
er,100,8,4.0,40,4.021,24.1,2.275,8.775,21.825,126.85,52.43288750686626,1892.2459283725002,0.07121725502861634,9.75,3.951800000000001,0.0,21.075,204.05,110.60087981553367,143.0991201844663
er,100,8,8.0,40,7.898999999999999,46.35,26.65,14.025,19.7,28.55,10.88388599531318,2940.042062308,0.009907902908490902,15.425,7.085380000000001,0.05,35.05,222.125,25.177048785197762,31.92295121480224
er,100,8,12.0,40,12.047,72.55,53.175,18.15,19.375,17.125,6.329367854367246,3821.87193026775,0.0045266924157089435,20.2,10.240400000000003,1.025,48.175,377.45,15.163508580252365,19.086491419747635
er,100,8,16.0,40,15.9355,101.6,77.5,22.45,24.175,17.125,7.257842795988493,4803.625208176,0.0035247108771252595,25.4,13.230849999999995,4.75,57.55,433.2,14.875771214792696,19.374228785207304
er,200,2,4.0,40,3.9802500000000003,198.125,173.025,5.625,25.1,41.075,18.91870259009078,2526.25522941825,0.01671814099496135,10.65,3.985952499999999,89.5,64.1,1116.4,35.21203332511866,46.937966674881345
er,200,2,8.0,40,8.02525,401.95,376.35,8.625,25.6,23.3,12.521161574689753,3580.40981741175,0.006371448057729249,16.725,7.712477500000003,239.35,76.75,1297.725,19.419651826353988,27.180348173646014
er,200,2,12.0,40,12.02425,600.225,576.0,11.25,24.825,20.3,12.562051114572343,4565.41748482475,0.004056073542350981,21.975,11.014997500000003,397.025,83.975,1482.525,16.40698002666047,24.19301997333953
er,200,2,16.0,40,16.02875,799.0,776.15,13.625,23.75,17.8,14.665850793158215,4871.983541487,0.002908900033734092,26.875,14.458047500000006,564.475,88.125,1607.275,13.255005751604441,22.344994248395558
er,200,3,4.0,40,3.9530000000000003,131.7,98.275,7.175,33.425,50.95,15.508393095683909,3426.76008639725,0.015307127377197458,10.2,3.82147,22.85,75.45,982.375,46.14389918690411,55.7561008130959
er,200,3,8.0,40,8.01425,269.65,233.75,11.075,35.9,30.025,11.339713513316928,5107.601993798,0.005955627738012762,16.3,7.664227499999998,89.2,99.725,1412.6,26.51078637384458,33.539213626155416
er,200,3,12.0,40,12.019499999999999,404.125,366.525,15.15,37.6,25.85,10.897070883781286,7364.420218957501,0.0035238425794216787,22.225,11.391095000000005,172.45,113.825,1596.55,22.47296274592882,29.22703725407118
er,200,3,16.0,40,16.026,537.2,500.55,18.6,36.875,22.875,12.39352084656975,8426.80493709925,0.002556673220633468,27.375,14.593424999999991,260.1,121.4,1693.15,19.034208097814016,26.715791902185984
er,200,4,4.0,40,4.00725,96.125,62.225,8.075,33.9,56.35,17.23822526411609,3873.48239959725,0.014823004422379943,10.1,3.785052499999999,4.15,69.225,852.675,51.00781864394088,61.69218135605912
er,200,4,8.0,40,7.987,201.575,162.575,12.7,39.0,35.3,10.971291207931305,6115.03070027125,0.00586112775077616,16.475,7.433059999999999,32.75,102.025,1132.875,31.89996162917579,38.7000383708242
er,200,4,12.0,40,11.905750000000001,298.3,259.675,16.95,38.625,28.4,13.350885882448171,8047.135977207001,0.0034563853078245026,22.15,11.233382500000001,78.325,118.05,1399.6,24.26251759938672,32.53748240061328
er,200,4,16.0,40,16.0445,394.35,363.1,21.05,31.25,17.925,8.498529284529178,9674.978374585251,0.0018348203980124334,27.575,14.937975000000005,138.15,126.4,1574.225,15.291278488526169,20.55872151147383
er,200,5,4.0,40,3.9859999999999998,80.225,37.35,8.675,42.875,85.075,23.617016355553076,4292.68807714125,0.02041358099392248,10.5,3.9411750000000003,0.475,62.85,694.65,77.75601080434232,92.39398919565768
er,200,5,8.0,40,8.044,164.275,120.8,13.925,43.475,40.275,11.493560069748758,6794.0200744485,0.00605612792503141,16.925,7.87706,12.15,97.525,981.2,36.71310883205176,43.83689116794824
er,200,5,12.0,40,12.075750000000001,243.575,201.05,18.5,42.525,31.775,11.543646271034522,9482.398164935501,0.0033372126539450175,22.55,11.3830475,37.325,118.625,1287.0,28.19758695746171,35.35241304253829
er,200,5,16.0,40,15.96875,318.725,279.175,22.05,39.55,24.025,10.430447294782269,10869.48354187375,0.0021646165281135996,27.175,14.296187499999997,72.775,128.875,1472.35,20.79257089434634,27.257429105653657
er,200,8,4.0,40,4.04125,49.75,4.55,8.975,45.2,244.375,67.25789916433608,4613.10483096,0.05467466173542994,9.975,3.8579125,0.0,42.575,461.4,223.53156110427074,265.21843889572926
er,200,8,8.0,40,7.995749999999999,99.95,55.3,14.575,44.65,60.825,14.089253042019344,7552.786691218001,0.008198820018188297,16.3,7.349557499999999,0.05,73.45,585.275,56.458695245962765,65.19130475403725
er,200,8,12.0,40,12.066500000000001,149.65,108.0,19.6,41.65,37.15,10.692796520831088,10123.50541085175,0.003679318081819368,21.825,11.273454999999997,1.725,97.775,762.275,33.836268026870066,40.46373197312993
er,200,8,16.0,40,16.02175,202.7,156.075,24.875,46.625,30.85,8.544153796752731,12347.10361865325,0.0025267566221859675,27.9,14.7990775,8.125,114.975,1081.675,28.20213930570163,33.497860694298375
er,400,2,4.0,40,4.009125,401.125,350.425,6.0,50.7,79.825,27.21320145321629,6229.41192761875,0.01313571119255382,11.55,4.113405625,185.075,127.025,2499.55,71.39154149631759,88.25845850368242
er,400,2,8.0,40,8.0105,805.625,750.9,8.85,54.725,53.625,21.882773344134634,9089.944497989749,0.005835942699596766,17.275,7.727257499999999,476.525,156.55,3174.45,46.84345828170886,60.40654171829114
er,400,2,12.0,40,11.929375,1190.4,1142.725,11.7,47.675,36.975,21.973745989714924,11542.717181949,0.0030208941889452766,22.875,11.315629374999999,782.85,168.95,3437.925,30.16526556675798,43.78473443324202
er,400,2,16.0,40,16.0255,1606.65,1552.075,14.625,55.425,36.375,19.693403164641914,14387.86539394425,0.0023185930100144865,28.85,15.593913750000004,1116.975,180.675,3761.975,30.271951129736834,42.478048870263166
er,400,3,4.0,40,4.012125,267.375,200.175,7.875,67.2,96.125,19.977150408943174,9001.6202431255,0.010962692408853444,11.2,3.937293125,44.7,152.425,2502.05,89.9340169477016,102.3159830522984
er,400,3,8.0,40,8.05425,538.55,470.75,12.025,67.8,59.275,15.153890081935547,12629.273604915,0.00475291255840318,17.525,7.857435,175.95,199.225,3308.6,54.57876080906631,63.97123919093369
er,400,3,12.0,40,11.93925,795.525,728.775,15.625,66.75,45.5,16.12610560709814,16939.594350175,0.002688854010716962,23.0,11.54792,333.275,226.05,3682.55,40.50246809632944,50.49753190367056
er,400,3,16.0,40,16.053125,1075.45,1003.05,19.85,72.4,41.175,13.653002863087929,22043.8541213825,0.001870022484905968,29.2,15.482488125000007,520.475,241.775,4090.675,36.94389057708052,45.40610942291947
er,400,4,4.0,40,4.022125,199.85,124.875,8.5,74.975,117.475,24.711657687031558,9134.11378009675,0.013014579819242167,10.75,3.9400118749999997,8.125,142.675,2043.55,109.81677794115605,125.13322205884394
er,400,4,8.0,40,8.016375,399.75,325.6,13.625,74.15,64.7,11.605038693469453,15353.293893942498,0.004311385932599337,17.65,7.7231118750000025,65.95,200.425,2699.925,61.10356124863669,68.29643875136331
er,400,4,12.0,40,11.98275,593.4,523.925,17.85,69.475,47.15,16.24421001385906,19835.5659052075,0.0023939612238537814,23.275,11.8633625,158.025,233.625,3378.1,42.11586716147682,52.184132838523176
er,400,4,16.0,40,15.977625,801.55,724.625,22.05,76.925,44.375,14.795507807508711,24571.1860615,0.0018046229051407153,28.9,15.021596875000006,265.075,257.225,3806.975,39.7898246265679,48.9601753734321
