family,n,m,k_colors,average_degree,realized_average_degree,trial,seed,recolor_steps,sweeps,node_evaluations,activation_count,initial_potential,final_potential,converged,edge_bound,degree_square_sum
er,200,398,2,4.0,3.98,33,3434658186,65,0,1055,1055,197,89,True,398,3888
er,200,420,2,4.0,4.2,34,2887872053,72,0,1329,1329,215,108,True,420,4520
er,200,398,2,4.0,3.98,35,4027203390,61,0,1848,1848,189,90,True,398,4004
er,200,441,2,4.0,4.41,36,1317842256,66,0,870,870,218,105,True,441,4880
er,200,391,2,4.0,3.91,37,3653622013,69,0,895,895,193,93,True,391,3864
er,200,402,2,4.0,4.02,38,2133794383,55,0,1494,1494,198,92,True,402,4030
er,200,411,2,4.0,4.11,39,3460643909,59,0,898,898,199,97,True,411,4262
er,400,754,2,4.0,3.77,0,784979647,141,0,2243,2243,379,175,True,754,7346
er,400,804,2,4.0,4.02,1,3224269882,127,0,2280,2280,392,179,True,804,8054
er,400,801,2,4.0,4.005,2,2637515382,133,0,2521,2521,401,191,True,801,7840
er,400,781,2,4.0,3.905,3,2113591270,149,0,2121,2121,398,161,True,781,7790
er,400,790,2,4.0,3.95,4,318765998,129,0,1748,1748,406,175,True,790,7894
er,400,813,2,4.0,4.065,5,877331431,105,0,2750,2750,369,185,True,813,8368
er,400,771,2,4.0,3.855,6,341550194,134,0,2498,2498,399,178,True,771,7670
er,400,808,2,4.0,4.04,7,446186388,125,0,3487,3487,410,192,True,808,8134
er,400,753,2,4.0,3.765,8,3346831780,120,0,1599,1599,382,165,True,753,7192
er,400,794,2,4.0,3.97,9,2333976774,131,0,3156,3156,410,181,True,794,7878
er,400,796,2,4.0,3.98,10,3412867132,118,0,3290,3290,375,177,True,796,8026
er,400,878,2,4.0,4.39,11,2367820302,123,0,2882,2882,414,223,True,878,9410
er,400,834,2,4.0,4.17,12,2637513489,108,0,3018,3018,385,205,True,834,8688
er,400,818,2,4.0,4.09,13,713949108,141,0,2444,2444,442,200,True,818,8252
er,400,810,2,4.0,4.05,14,1161409637,133,0,2931,2931,414,184,True,810,8124
er,400,807,2,4.0,4.035,15,2725795401,123,0,2173,2173,394,194,True,807,8262
er,400,805,2,4.0,4.025,16,1213665061,121,0,2251,2251,407,192,True,805,8090
er,400,809,2,4.0,4.045,17,3138348534,123,0,2375,2375,397,190,True,809,8356
er,400,835,2,4.0,4.175,18,2118102992,138,0,2974,2974,409,182,True,835,8556
er,400,800,2,4.0,4.0,19,1162293492,123,0,1871,1871,395,189,True,800,7972
er,400,793,2,4.0,3.965,20,1660754521,109,0,1554,1554,382,191,True,793,7942
er,400,831,2,4.0,4.155,21,2672676204,129,0,3119,3119,420,185,True,831,8594
