family,n,m,k_colors,average_degree,realized_average_degree,trial,seed,recolor_steps,sweeps,node_evaluations,activation_count,initial_potential,final_potential,converged,edge_bound,degree_square_sum,max_degree,threshold_h,weight_w,excess_x0,parity_epsilon,threshold_activation_count,relaxation_bound,high_palette
er,200,368,2,4.0,3.68,2,265062386,54,0,877,877,168,84,True,368,3412,10,159,5,9,0,38,1414.48412698,False
er,200,361,2,4.0,3.61,3,1677551766,64,0,1380,1380,183,81,True,361,3270,10,154,5,29,0,42,1980.82689879,False
er,200,399,2,4.0,3.99,4,1251639492,66,0,1441,1441,195,80,True,399,3974,10,172,5,23,0,40,1867.14575554,False
er,200,370,2,4.0,3.7,5,1703317121,60,0,917,917,179,87,True,370,3454,9,156,5,23,1,45,2549.54149044,False
er,200,395,2,4.0,3.95,6,1271697616,56,0,884,884,191,87,True,395,3988,10,176,5,15,1,21,2335.87263431,False
er,200,415,2,4.0,4.15,7,865885293,70,0,952,952,220,99,True,415,4340,11,181,6,39,1,47,3376.25943796,False
er,200,402,2,4.0,4.02,8,107211846,77,0,1667,1667,206,87,True,402,3994,9,173,5,33,1,47,2730.02792137,False
er,200,379,2,4.0,3.79,9,1836316461,62,0,1496,1496,182,79,True,379,3596,11,163,6,19,1,41,2944.83862167,False
er,200,390,2,4.0,3.9,10,628697458,65,0,805,805,199,74,True,390,3778,10,170,5,29,1,30,2665.42769495,False
er,200,400,2,4.0,4.0,11,1402226324,67,0,1422,1422,197,90,True,400,3942,9,173,5,24,1,52,2570.81808619,False
er,200,419,2,4.0,4.19,12,1278907611,72,0,1154,1154,211,85,True,419,4348,11,180,6,31,1,43,3238.52434814,False
er,200,403,2,4.0,4.03,13,3098081207,69,0,913,913,194,88,True,403,4014,11,176,6,18,0,29,2097.06484692,False
er,200,433,2,4.0,4.33,14,2236995166,59,0,2351,2351,199,85,True,433,4632,13,189,7,10,1,11,2986.55774222,False
er,200,388,2,4.0,3.88,15,3400398615,62,0,817,817,191,89,True,388,3744,9,169,5,22,0,40,1845.40662511,False
er,200,416,2,4.0,4.16,16,2604064035,76,0,1023,1023,225,99,True,416,4288,11,183,6,42,0,56,2596.04568399,False
er,200,396,2,4.0,3.96,17,3823029889,59,0,1256,1256,197,90,True,396,3914,11,170,6,27,1,33,3155.64242054,False
er,200,421,2,4.0,4.21,18,139466354,69,0,1751,1751,217,105,True,421,4322,10,185,5,32,0,92,2029.24759772,False
er,200,396,2,4.0,3.96,19,3469119006,66,0,934,934,189,84,True,396,4004,12,171,6,18,0,28,2097.06484692,False
er,200,444,2,4.0,4.44,20,935104739,73,0,819,819,234,99,True,444,4862,11,195,6,39,1,44,3376.25943796,False
er,200,350,2,4.0,3.5,21,792302687,61,0,925,925,167,70,True,350,3118,9,147,5,20,1,37,2479.67321036,False
er,200,403,2,4.0,4.03,22,1911429442,55,0,1278,1278,206,100,True,403,4032,10,174,5,32,1,69,2714.64330599,False
er,200,434,2,4.0,4.34,23,3325164153,62,0,785,785,219,101,True,434,4704,12,196,6,23,0,26,2240.57490665,False
er,200,405,2,4.0,4.05,24,1434737426,61,0,1021,1021,208,98,True,405,4024,10,179,5,29,1,62,2665.42769495,False
er,200,385,2,4.0,3.85,25,1838581080,59,0,1031,1031,204,97,True,385,3794,12,167,6,37,0,95,2520.95173429,False
er,200,386,2,4.0,3.86,26,801576264,58,0,813,813,181,91,True,386,3644,10,171,5,10,0,8,1464.48412698,False
er,200,404,2,4.0,4.04,27,691512853,72,0,1039,1039,215,89,True,404,4144,13,175,7,40,0,65,2994.98012726,False
er,200,369,2,4.0,3.69,28,1680145267,70,0,491,491,184,82,True,369,3432,10,158,5,26,1,33,2610.83409259,False
er,200,379,2,4.0,3.79,29,3422834544,51,0,790,790,176,83,True,379,3546,9,161,5,15,0,13,1659.11449661,False
er,200,386,2,4.0,3.86,30,1348823789,57,0,818,818,181,88,True,386,3700,12,166,6,15,0,29,1990.93739594,False
er,200,427,2,4.0,4.27,31,2748186447,66,0,847,847,213,98,True,427,4576,13,185,7,28,1,26,3707.03736942,False
er,200,387,2,4.0,3.87,32,2626864021,63,0,1122,1122,181,71,True,387,3852,13,170,7,11,1,26,3053.22440889,False
er,200,398,2,4.0,3.98,33,3434658186,65,0,1055,1055,197,89,True,398,3888,10,175,5,22,0,48,1845.40662511,False
er,200,420,2,4.0,4.2,34,2887872053,72,0,1329,1329,215,108,True,420,4520,13,182,7,33,0,45,2862.15875802,False
er,200,398,2,4.0,3.98,35,4027203390,61,0,1848,1848,189,90,True,398,4004,11,174,6,15,0,39,1990.93739594,False
er,200,441,2,4.0,4.41,36,1317842256,66,0,870,870,218,105,True,441,4880,11,192,6,26,1,35,3133.00091111,False
er,200,391,2,4.0,3.91,37,3653622013,69,0,895,895,193,93,True,391,3864,9,168,5,25,1,61,2591.22624945,False
er,200,402,2,4.0,4.02,38,2133794383,55,0,1494,1494,198,92,True,402,4030,11,176,6,22,1,33,3032.78312186,False
er,200,411,2,4.0,4.11,39,3460643909,59,0,898,898,199,97,True,411,4262,11,183,6,16,0,12,2028.43739594,False
er,400,754,2,4.0,3.77,0,784979647,141,0,2243,2243,379,175,True,754,7346,15,322,8,57,1,79,9610.5185882,False
er,400,804,2,4.0,4.02,1,3224269882,127,0,2280,2280,392,179,True,804,8054,10,353,5,39,1,87,5627.09906326,False
er,400,801,2,4.0,4.005,2,2637515382,133,0,2521,2521,401,191,True,801,7840,10,349,5,52,1,82,5914.76915288,False
er,400,781,2,4.0,3.905,3,2113591270,149,0,2121,2121,398,161,True,781,7790,13,343,7,55,0,91,6431.0570967,False
er,400,790,2,4.0,3.95,4,318765998,129,0,1748,1748,406,175,True,790,7894,11,344,6,62,1,85,7308.78629997,False
er,400,813,2,4.0,4.065,5,877331431,105,0,2750,2750,369,185,True,813,8368,12,355,6,14,1,17,5523.33570164,False
er,400,771,2,4.0,3.855,6,341550194,134,0,2498,2498,399,178,True,771,7670,10,334,5,65,0,123,4759.27551909,False
er,400,808,2,4.0,4.04,7,446186388,125,0,3487,3487,410,192,True,808,8134,12,354,6,56,1,81,7186.6500031,False
er,400,753,2,4.0,3.765,8,3346831780,120,0,1599,1599,382,165,True,753,7192,10,328,5,54,1,77,5952.50836071,False
er,400,794,2,4.0,3.97,9,2333976774,131,0,3156,3156,410,181,True,794,7878,10,346,5,64,1,91,6122.40328147,False
er,400,796,2,4.0,3.98,10,3412867132,118,0,3290,3290,375,177,True,796,8026,12,346,6,29,1,47,6397.02646788,False
er,400,878,2,4.0,4.39,11,2367820302,123,0,2882,2882,414,223,True,878,9410,10,387,5,27,1,48,5259.40403424,False
er,400,834,2,4.0,4.17,12,2637513489,108,0,3018,3018,385,205,True,834,8688,11,369,6,16,0,19,4056.87479187,False
er,400,818,2,4.0,4.09,13,713949108,141,0,2444,2444,442,200,True,818,8252,11,357,6,85,0,123,6030.88528856,False
er,400,810,2,4.0,4.05,14,1161409637,133,0,2931,2931,414,184,True,810,8124,12,356,6,58,0,113,5575.50551249,False
er,400,807,2,4.0,4.035,15,2725795401,123,0,2173,2173,394,194,True,807,8262,11,349,6,45,0,107,5273.93773866,False
er,400,805,2,4.0,4.025,16,1213665061,121,0,2251,2251,407,192,True,805,8090,10,351,5,56,0,86,4611.46935478,False
er,400,809,2,4.0,4.045,17,3138348534,123,0,2375,2375,397,190,True,809,8356,11,353,6,44,1,67,6897.26541604,False
er,400,835,2,4.0,4.175,18,2118102992,138,0,2974,2974,409,182,True,835,8556,13,362,7,47,1,95,8139.14708385,False
er,400,800,2,4.0,4.0,19,1162293492,123,0,1871,1871,395,189,True,800,7972,13,349,7,46,0,60,6183.36214438,False
er,400,793,2,4.0,3.965,20,1660754521,109,0,1554,1554,382,191,True,793,7942,15,347,8,35,0,62,6634.85027043,False
er,400,831,2,4.0,4.155,21,2672676204,129,0,3119,3119,420,185,True,831,8594,11,364,6,56,0,93,5533.76322574,False
er,400,814,2,4.0,4.07,22,3332863830,127,0,2068,2068,407,185,True,814,8242,10,357,5,50,1,67,5875.54969695,False
er,400,788,2,4.0,3.94,23,1980553185,115,0,2263,2263,390,191,True,788,7732,11,344,6,46,0,74,5300.02469518,False
er,400,791,2,4.0,3.955,24,34436143,144,0,2588,2588,420,171,True,791,7888,12,342,6,78,1,113,7584.27084129,False
er,400,792,2,4.0,3.96,25,2809301715,139,0,3249,3249,416,184,True,792,7934,10,347,5,69,1,102,6197.62528196,False
er,400,815,2,4.0,4.075,26,3331742406,121,0,2676,2676,395,174,True,815,8090,11,359,6,36,0,36,5009.47103615,False
er,400,778,2,4.0,3.89,27,3898890827,120,0,2878,2878,378,185,True,778,7806,18,341,9,37,1,51,10034.0250671,False
er,400,782,2,4.0,3.91,28,1385882735,126,0,2374,2374,394,181,True,782,7838,13,340,7,54,1,80,8333.51170499,False
er,400,815,2,4.0,4.075,29,2833834537,129,0,1802,1802,418,185,True,815,8470,11,361,6,57,0,114,5554.81585732,False
er,400,809,2,4.0,4.045,30,2274134804,131,0,2938,2938,381,183,True,809,8288,10,355,5,26,1,48,5221.66818518,False
er,400,768,2,4.0,3.84,31,358878265,131,0,2398,2398,390,169,True,768,7448,10,339,5,51,0,82,4518.81318147,False
er,400,860,2,4.0,4.3,32,16651474,122,0,3276,3276,432,211,True,860,9080,12,376,6,56,0,61,5533.76322574,False
er,400,840,2,4.0,4.2,33,2681979638,132,0,2649,2649,427,192,True,840,8788,13,369,7,58,0,88,6504.75643124,False
er,400,781,2,4.0,3.905,34,1575097171,132,0,2095,2095,423,193,True,781,7762,11,339,6,84,0,132,6016.7676415,False
er,400,763,2,4.0,3.815,35,3310888225,131,0,2340,2340,382,172,True,763,7452,10,327,5,55,1,94,5970.85698456,False
er,400,808,2,4.0,4.04,36,1597309204,117,0,2150,2150,407,179,True,808,7982,10,359,5,48,1,44,5834.72912005,False
er,400,790,2,4.0,3.95,37,1308917815,116,0,2640,2640,407,194,True,790,7930,12,348,6,59,1,98,7249.27132688,False
er,400,799,2,4.0,3.995,38,3076237120,128,0,1743,1743,396,186,True,799,8284,12,350,6,46,1,81,6950.60533455,False
er,400,795,2,4.0,3.975,39,385163376,137,0,2570,2570,402,174,True,795,7790,13,346,7,56,0,95,6456.0570967,False
er,800,1702,2,4.0,4.255,0,343610413,269,0,6441,6441,877,421,True,1702,17746,11,749,6,128,1,183,16357.3027993,False
er,800,1658,2,4.0,4.145,1,2712817830,251,0,5983,5983,819,396,True,1658,17082,12,726,6,93,1,149,15590.6744078,False
er,800,1590,2,4.0,3.975,2,3518069344,252,0,5565,5565,792,348,True,1590,16016,12,697,6,95,0,155,12327.2315541,False
er,800,1528,2,4.0,3.82,3,3381819726,233,0,5306,5306,757,352,True,1528,15094,14,667,7,90,1,130,18097.3095528,False
er,800,1605,2,4.0,4.0125,4,237782959,246,0,8390,8390,799,380,True,1605,15934,10,697,5,102,0,152,10414.1648586,False
