family,n,k_colors,average_degree,runs,mean_tau_h,mean_b_h,mean_w,mean_delta,mean_degree_variance,mean_degree_cv2,certificate_looseness,cell_tau_over_b
ws,400,3,4.0,40,92.85,4545.99443388925,4.25,6.25,0.37337500000000023,0.023335937500000015,48.96062933644858,0.020424574061909645
ws,400,3,8.0,40,85.8,8826.46843538775,7.9,11.075,0.7708750000000005,0.012044921875000008,102.87259248703671,0.009720762117723563
ws,400,3,12.0,40,37.75,10522.74294639075,10.525,15.5,1.1258750000000006,0.007818576388888892,278.7481575202848,0.0035874676586058834
ws,400,3,16.0,40,44.1,14924.9402296855,13.925,20.15,1.5338750000000019,0.005991699218750007,338.4340188137302,0.002954785702410098
ws,400,4,4.0,40,34.025,4859.39858528975,5.35,6.4,0.3808750000000002,0.02380468750000001,142.8184742186554,0.0070018952763001635
ws,400,4,8.0,40,44.45,9396.96672499,8.9,11.0,0.773875,0.012091796875,211.40532564656914,0.004730249803033894
ws,400,4,12.0,40,44.2,12601.701193772251,12.1,15.5,1.140250000000001,0.007918402777777785,285.1063618500509,0.003507462946498335
ws,400,4,16.0,40,38.075,15811.023868415,15.2,20.125,1.5129999999999995,0.005910156249999998,415.2599834120814,0.002408129942556142
ws,400,5,4.0,40,336.35,6513.6531176650005,5.425,6.425,0.3882499999999999,0.024265624999999992,19.365699770075814,0.05163768992976003
ws,400,5,8.0,40,125.9,11177.64203808775,9.225,11.225,0.744250000000001,0.011628906250000015,88.78190657734511,0.011263556264460474
ws,400,5,12.0,40,59.65,13822.828286305,12.55,15.55,1.149749999999998,0.007984374999999986,231.73224285507126,0.004315325255041935
ws,400,5,16.0,40,40.85,18111.2826305075,16.35,20.225,1.5418750000000045,0.006022949218750018,443.3606519096083,0.0022555001119131304
ws,400,8,4.0,40,1056.025,6416.44842616425,6.2,6.2,0.3811250000000001,0.023820312500000006,6.076038376140953,0.16458092232049487
ws,400,8,8.0,40,55.725,10487.00795720775,10.2,11.2,0.7885000000000012,0.012320312500000019,188.1921571504307,0.005313717718856126
ws,400,8,12.0,40,95.45,16129.657733574999,14.175,15.725,1.1411250000000017,0.007924479166666679,168.98541365715033,0.005917670515804822
ws,400,8,16.0,40,48.725,20118.88205478,18.125,20.125,1.540124999999999,0.006016113281249996,412.9067635665469,0.002421854249521958
ws,800,2,4.0,40,81.125,7683.563410657999,3.625,6.65,0.388375,0.0242734375,94.71264604817256,0.010558252162983409
ws,800,2,8.0,40,90.125,13400.299458940499,6.05,11.4,0.7564374999999994,0.011819335937499991,148.68570828228016,0.006725595967175929
ws,800,2,12.0,40,78.25,18284.384651995,8.15,15.95,1.1620624999999998,0.008069878472222219,233.6662575334824,0.0042796080638930435
ws,800,2,16.0,40,72.15,23515.0242457575,10.25,20.25,1.5042500000000003,0.005875976562500001,325.9185619647609,0.0030682511421614655
ws,800,3,4.0,40,187.225,11171.758660652,4.55,6.55,0.3739375000000001,0.023371093750000006,59.67022919296034,0.016758775917656038
ws,800,3,8.0,40,168.15,20225.91744556,8.05,11.35,0.7688750000000013,0.01201367187500002,120.28496845411834,0.008313590740820132
ws,800,3,12.0,40,81.5,26819.526034545,10.95,15.95,1.1441875000000017,0.00794574652777779,329.0739390741718,0.0030388307345559943
ws,800,3,16.0,40,79.375,35210.123253242506,14.125,20.625,1.530000000000004,0.005976562500000016,443.59210397785836,0.002254323264622209
ws,800,4,4.0,40,76.7,11662.2163848395,5.475,6.525,0.3795624999999999,0.023722656249999995,152.04975729908082,0.006576794450470624
ws,800,4,8.0,40,87.625,21051.8671929075,9.025,11.4,0.7484999999999993,0.011695312499999989,240.24955426998574,0.004162338627593157
ws,800,4,12.0,40,79.1,29871.3391795625,12.225,15.925,1.1321250000000014,0.007861979166666675,377.64019190344504,0.002648023228035219
ws,800,4,16.0,40,77.15,38449.969882674995,15.55,20.55,1.5321874999999978,0.0059851074218749915,498.3793892764095,0.0020065035222501613
ws,800,5,4.0,40,676.575,15325.939457735,5.575,6.575,0.3853749999999999,0.024085937499999995,22.65224026565421,0.04414574400909125
ws,800,5,8.0,40,249.95,25558.332455044998,9.325,11.325,0.7538125000000004,0.011778320312500007,102.25378057629526,0.009779589511156154
ws,800,5,12.0,40,123.65,32216.416856487504,13.05,16.05,1.1193749999999993,0.0077734374999999965,260.54522326314196,0.003838105291187908
ws,800,5,16.0,40,74.825,41384.2516774775,16.575,20.575,1.536,0.006,553.0805436348479,0.0018080549234800328
ws,800,8,4.0,40,2334.45,15420.0934010875,6.575,6.575,0.3826875000000004,0.023917968750000025,6.60545027783311,0.15139013359253473
ws,800,8,8.0,40,110.6,23887.1458361625,10.175,11.175,0.751125,0.011736328125,215.97781045354884,0.004630105277482076
ws,800,8,12.0,40,185.475,36946.276671675,14.2,15.95,1.1521250000000023,0.008000868055555572,199.19814892397898,0.005020126971067564
ws,800,8,16.0,40,91.075,45317.218012575,18.475,20.475,1.5146249999999994,0.005916503906249998,497.5813122434807,0.002009721778921375
