family,n,k_colors,average_degree,runs,mean_tau_h,mean_b_h,mean_w,mean_delta,mean_degree_variance,mean_degree_cv2,certificate_looseness,cell_tau_over_b
ba,200,8,4.0,40,141.825,14291.440806602,29.4,33.0,16.9464,1.0806550352004898,100.76813542465716,0.009923771991868254
ba,200,8,8.0,40,86.325,22628.818852465,42.825,48.5,44.20140000000001,0.7191241930445649,262.13517350089774,0.0038148257124165567
ba,200,8,12.0,40,53.625,27701.8171389925,52.525,59.475,77.09989999999998,0.5690466279330662,516.5840025919348,0.001935793588230664
ba,200,8,16.0,40,20.1,27916.1473314675,61.35,69.6,111.91365,0.4743518829345704,1388.863051316791,0.0007200133944465531
ba,400,2,4.0,40,55.35,23061.0938588575,24.6,48.825,21.376974999999995,1.3495224236761696,416.6412621293135,0.002400146339057577
ba,400,2,8.0,40,45.15,35307.361772145,34.85,69.175,58.80485,0.9374816664115906,782.0013681538206,0.0012787701412349689
ba,400,2,12.0,40,36.4,40692.82281352,42.6,84.75,103.13272500000001,0.7381787514923513,1117.9346926791209,0.0008945066349121956
ba,400,2,16.0,40,37.425,47276.36864696,48.025,95.575,154.86110000000002,0.629868983626614,1263.229623165264,0.0007916217144229949
ba,400,3,4.0,40,140.7,37656.059296975,33.0,49.05,20.927725,1.3211613974394585,267.63368370273633,0.003736450457823205
ba,400,3,8.0,40,67.625,51500.0558318725,46.6,69.25,57.398225000000004,0.9150568978930721,761.5535058317561,0.0013131053725605488
ba,400,3,12.0,40,43.6,60101.384523215005,56.475,84.175,103.78509999999999,0.7428481652308598,1378.4721220920871,0.0007254408587402656
ba,400,3,16.0,40,45.85,69238.621970345,64.35,95.9,154.83785000000003,0.6297744185365474,1510.1117114579063,0.0006622026651489052
ba,400,4,4.0,40,175.375,45616.482008009996,38.125,50.275,22.01185,1.389601903992323,260.108236681454,0.0038445533780795535
ba,400,4,8.0,40,49.875,54786.086468565,53.1,70.275,58.06235,0.9256445451994695,1098.4678991190979,0.0009103588742119247
ba,400,4,12.0,40,67.0,76133.1985366575,65.05,86.225,104.378975,0.7470988616615275,1136.316396069515,0.0008800365844046348
ba,400,4,16.0,40,38.125,75492.6581210025,72.5,96.15,156.68235,0.6372765823485007,1980.1352949771149,0.0005050159969051799
ba,400,5,4.0,40,213.8,45802.68714999,39.3,48.575,20.742099999999997,1.309442943360016,214.23146468657623,0.004667848401554901
ba,400,5,8.0,40,89.45,64080.08301389,56.275,69.85,57.960350000000005,0.9240184356188145,716.3787927768585,0.001395909552436298
