dimension,family,level,runs,mean_tau_h,sd_tau_h,ci95_tau_h,mean_b_h,sd_b_h,ci95_b_h,mean_tau_over_b,sd_tau_over_b,ci95_tau_over_b,mean_h,mean_x0,mean_w,mean_delta,mean_degree_variance,mean_degree_cv2
k_colors,ba,5.0,640,100.1875,104.13279637138913,8.067771983574614,80951.18411210406,93528.57733712226,7246.20160216255,0.002994241600240858,0.003694347595536743,0.0002862225453214339,287.9171875,80.6796875,55.196875,68.484375,74.00870703125,0.8250354841967272
k_colors,ba,8.0,640,143.4453125,147.41976988821006,11.421465002123918,86504.14230607954,98376.03628000137,7621.762374691976,0.0038718009580759744,0.004706785796245062,0.0003646620075792581,150.840625,79.8734375,60.040625,68.125,73.692609375,0.8208493249017905
k_colors,er,2.0,640,47.578125,43.46102698497148,3.3671779507024846,10167.446913333508,10410.8290347543,806.5873359706784,0.007148901695493498,0.007371558662757544,0.0005711174243565423,890.1390625,46.9109375,10.01875,19.528125,9.37900130859375,0.12534762208507141
k_colors,er,3.0,640,57.175,50.4989564341578,3.912447183942059,14685.888344562689,14520.957272125675,1125.0228202546134,0.006127451764911686,0.005719402333280235,0.00044311528658715126,562.4890625,63.4578125,13.353125,19.5125,9.352350048828125,0.12488002907867599
k_colors,er,4.0,640,66.3,60.866955143838126,4.715716206098838,16834.052050523984,16402.64344260096,1270.807966692987,0.006304260265527886,0.006111770697891632,0.00047351434057935315,398.08125,70.5859375,15.015625,19.5015625,9.3589983984375,0.12428819056125806
k_colors,er,5.0,640,81.2796875,79.07486336094198,6.126388510235761,18180.79269481425,17487.574510058836,1354.8638719903818,0.0074389027861129125,0.007638112088521155,0.000591768864973116,298.9625,76.3125,16.053125,19.5859375,9.35545654296875,0.12454044023696967
k_colors,er,8.0,640,172.4453125,233.07236944555058,18.0574689039543,20292.78947825767,19863.51678988774,1538.9419072275173,0.01611837555735099,0.023627685140362082,0.0018305738715810548,151.2140625,82.90625,17.4203125,19.4609375,9.354211826171873,0.12466331506761433
k_colors,ws,2.0,640,37.4359375,33.68084983253981,2.6094508755227,6384.788796108884,6808.4649757313755,527.4912889734572,0.008356797480616358,0.008417028144824722,0.000652116011650999,898.7515625,37.90625,6.8015625,13.1078125,0.9389296874999996,0.012357014973958334
k_colors,ws,3.0,640,60.7328125,54.489540581344976,4.221620893884026,9714.364341217422,9903.228583095486,767.2605835406633,0.010045688325248048,0.009057573730866958,0.0007017427950789893,560.3375,64.0109375,9.078125,13.14375,0.9491718750000004,0.012261233859592022
k_colors,ws,4.0,640,37.66875,30.50313037118182,2.3632545095808006,10522.651474852519,10833.619953648722,839.3434017753547,0.005110325210424843,0.003981388132144078,0.00030846124129509886,420.665625,46.9234375,10.29375,13.109375,0.9385078124999996,0.012276840209960935
k_colors,ws,5.0,640,131.8890625,167.48349659868742,12.97591833365244,12041.154003281248,11769.621653791954,911.8608847982974,0.019658228417839384,0.024317892484244614,0.0018840482395599302,285.771875,90.465625,10.740625,13.1421875,0.9461210937500002,0.01232286580403646
k_colors,ws,8.0,640,296.3796875,596.2475128781341,46.19475465268429,12832.22381209954,12886.518081467835,998.3933320363495,0.04356842640710444,0.06973951619358751,0.005403124995203351,160.5671875,73.184375,12.009375,13.1171875,0.9449960937500002,0.01234914143880209
average_degree,ba,4.0,800,164.0375,148.8105231780019,10.312043145006136,46865.05062152901,55473.16215640175,3844.0940151959585,0.006440818404262213,0.0050379538758984896,0.00034911239219738145,139.11125,70.7875,33.21625,45.6975,19.66295625,1.2487508349972698
average_degree,ba,8.0,800,80.90375,85.27541765953868,5.909284957366336,64179.542319153814,74707.78148698637,5176.985131891385,0.0022404511831155822,0.0018558984216466101,0.00012860719919569337,350.74625,66.93,45.71125,63.16,51.445949999999996,0.8291284892420486
average_degree,ba,12.0,800,57.4375,51.69924669553811,3.5825750162238177,77842.74638961308,89026.17667846248,6169.1992967803435,0.001378405784277624,0.0011705789208996638,8.111698070245398e-05,556.02375,68.80125,55.105,76.185,90.07267812499998,0.6543102164802544
average_degree,ba,16.0,800,41.655,35.29636336201265,2.4459131926813478,86849.90205225453,101049.14281321182,7002.348343398376,0.0009315680775450007,0.0008865973669430478,6.143806301406156e-05,765.15875,62.22125,63.27,87.53375,134.619559375,0.5577351296149828
average_degree,er,4.0,800,175.02,212.4420783315002,14.721484951361614,9187.292409993108,8618.016328390015,597.1980630457351,0.022661975582665837,0.01907405575472422,0.001321764628551787,141.845,68.88375,7.98875,10.65875,3.8968159765625,0.24434993673922756
average_degree,er,8.0,800,71.10875,61.049453053120025,4.230511259675913,13996.823465332849,13031.23637357385,903.0186094858886,0.0061854035955660235,0.0030611420382977567,0.00021212632075864426,355.13375,68.48,12.5025,16.9225,7.6252383671874995,0.1191746697010489
average_degree,er,12.0,800,50.47875,41.26791549738579,2.859720643576221,18471.97479224299,17097.979041257335,1184.8294986165354,0.003377254685497138,0.0019482578701656818,0.00013500738244643295,565.85,66.39875,16.56625,22.54625,11.25817725,0.07821288867471493
average_degree,er,16.0,800,43.215,36.14289918437389,2.5045751322912264,22472.684917624738,21056.81990244718,1459.163174037937,0.0022856797917885797,0.0013213001603656804,9.156142973098963e-05,777.88,68.37625,20.43125,27.94375,14.659782906249998,0.05723818250868019
average_degree,ws,4.0,800,295.8125,545.198616797996,37.78033662507612,5063.986784639042,4820.58053672103,334.04918830359003,0.05263035681563794,0.05967466781816434,0.0041352435033693066,144.5,66.0475,4.85,6.24,0.3792468750000001,0.023702929687500006
average_degree,ws,8.0,800,66.62125,61.67923644710894,4.2741530223156,8791.112940712948,7994.43696529205,553.9862178127885,0.008924520130811478,0.005293473724985177,0.0003668190143630435,359.07125,63.72625,8.2125,10.9075,0.7553937500000001,0.011803027343750001
average_degree,ws,12.0,800,51.4175,46.889086435795264,3.2492479162745136,12018.947149262978,11197.662302255783,775.9584088414791,0.004921594619295385,0.002661985219863162,0.00018446616443759323,569.6075,62.645,11.415,15.4225,1.1312687500000003,0.007856032986111112
average_degree,ws,16.0,800,37.43375,30.557778604293805,2.1175460219711475,15322.099067432722,14235.3046084173,986.4562812450623,0.0029151011072416633,0.001774803019655715,0.00012298757454595388,787.69625,57.57375,14.66125,19.92625,1.5082718749999997,0.005891687011718749
